config,leg,rep,wall_s,solutions,exit_code,search_card_ok,filter_ok,other_card_seen,util_amd_max_pct,util_nv_max_pct,phase_enum_ms,phase_budget_ms,phase_sieve_ms,phase_search_ms,phase_total_ms,search_h2d_ms,search_kernel_ms,search_d2h_ms,search_emit_ms,phase_wheel_expansion_ms,phase_zero_fill_ms,phase_sched_teardown_ms,phase_search_setup_ms,phase_search_teardown_ms,unaccounted_ms,sha256_ok
ref,65536,1,0.019,2357,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,65536,2,0.019,2357,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,65536,3,0.019,2357,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,65536,4,0.019,2357,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,65536,5,0.019,2357,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,131072,1,0.087,4776,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,131072,2,0.089,4776,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,131072,3,0.088,4776,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,131072,4,0.086,4776,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,131072,5,0.088,4776,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,196608,1,0.200,6922,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,196608,2,0.201,6922,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,196608,3,0.202,6922,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,196608,4,0.202,6922,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,196608,5,0.206,6922,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,262144,1,0.404,9163,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,262144,2,0.432,9163,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,262144,3,0.419,9163,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,262144,4,0.422,9163,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,262144,5,0.408,9163,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,327680,1,0.755,11395,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,327680,2,0.726,11395,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,327680,3,0.747,11395,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,327680,4,0.726,11395,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,327680,5,0.710,11395,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,393216,1,1.115,13675,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,393216,2,1.109,13675,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,393216,3,1.105,13675,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,458752,1,1.600,16032,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,458752,2,1.612,16032,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,458752,3,1.614,16032,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,524288,1,2.197,18408,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,524288,2,2.170,18408,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,524288,3,2.177,18408,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,589824,1,2.685,20414,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,589824,2,2.652,20414,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,589824,3,2.689,20414,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,655360,1,3.378,22558,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,655360,2,3.365,22558,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,655360,3,3.339,22558,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,720896,1,4.161,24726,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,720896,2,4.218,24726,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,720896,3,4.215,24726,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,786432,1,4.944,26847,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,786432,2,4.892,26847,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,786432,3,4.942,26847,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,851968,1,5.832,29012,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,851968,2,5.890,29012,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,851968,3,5.895,29012,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,917504,1,6.902,31145,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,917504,2,6.954,31145,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,917504,3,6.908,31145,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,983040,1,8.109,33347,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,983040,2,8.077,33347,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,983040,3,8.106,33347,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1048576,1,9.324,35556,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,1048576,2,9.196,35556,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,1048576,3,9.282,35556,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,1114112,1,10.501,37791,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1114112,2,10.412,37791,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1114112,3,10.484,37791,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1179648,1,11.778,39949,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1179648,2,11.814,39949,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1179648,3,11.743,39949,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1245184,1,13.224,42106,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1245184,2,13.200,42106,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1245184,3,13.217,42106,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1310720,1,14.933,44313,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1310720,2,14.631,44313,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1310720,3,14.866,44313,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1376256,1,16.571,46576,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1376256,2,16.404,46576,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1376256,3,16.648,46576,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1441792,1,18.103,48779,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1441792,2,18.157,48779,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1441792,3,18.126,48779,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1507328,1,20.080,51053,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1507328,2,19.925,51053,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1507328,3,19.892,51053,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1572864,1,21.838,53287,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1572864,2,21.892,53287,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1572864,3,21.984,53287,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1638400,1,23.913,55529,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1638400,2,23.923,55529,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1638400,3,23.832,55529,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1703936,1,25.736,57818,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1703936,2,26.017,57818,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1703936,3,25.897,57818,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1769472,1,28.411,60100,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1769472,2,28.114,60100,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1769472,3,27.940,60100,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1835008,1,30.397,62308,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1835008,2,30.066,62308,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1835008,3,30.325,62308,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1900544,1,32.585,64577,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1900544,2,32.491,64577,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1900544,3,32.499,64577,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1966080,1,35.212,66881,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1966080,2,35.567,66881,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,1966080,3,35.698,66881,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,2031616,1,38.139,69120,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,2031616,2,37.808,69120,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,2031616,3,38.011,69120,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,na
ref,2097152,1,40.686,71424,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,2097152,2,40.437,71424,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
ref,2097152,3,40.436,71424,0,yes,na,no,NA,NA,,,,,,,,,,,,,,,,yes
amd_gpu,65536,1,0.099,2357,0,yes,yes,no,60,0,6.903,0.007,32.702,29.554,69.952,0.093,28.666,0.138,0.658,,0.003,0.494,0.098,0.005,,yes
amd_gpu,65536,2,0.086,2357,0,yes,yes,no,49,0,7.281,0.007,19.806,29.664,57.486,0.083,28.804,0.132,0.644,,0.003,0.350,0.182,0.004,,yes
amd_gpu,65536,3,0.085,2357,0,yes,yes,no,44,0,7.525,0.009,19.884,28.608,56.719,0.088,27.763,0.126,0.631,,0.003,0.363,0.149,0.003,,yes
amd_gpu,65536,4,0.085,2357,0,yes,yes,no,46,0,7.148,0.009,20.053,28.028,55.968,0.087,27.146,0.131,0.665,,0.002,0.377,0.125,0.009,,yes
amd_gpu,65536,5,0.085,2357,0,yes,yes,no,52,0,7.080,0.007,19.810,29.561,57.080,0.074,28.722,0.124,0.640,,0.003,0.336,0.102,0.003,,yes
amd_gpu,65536,6,0.083,2357,0,yes,yes,no,100,0,7.245,0.007,20.299,26.944,55.109,0.082,26.108,0.126,0.627,,0.003,0.335,0.115,0.004,,yes
amd_gpu,65536,7,0.084,2357,0,yes,yes,no,35,0,7.210,0.007,20.800,26.856,55.547,0.087,26.010,0.136,0.622,,0.003,0.358,0.129,0.004,,yes
