config,leg,wall_median_s,wall_min_s,wall_max_s,wall_stdev_s,reps,solutions,expected,outcome,exit_code
ref,65536,0.019,0.019,0.019,0.000,5,2357,2357,OK,0
ref,131072,0.088,0.086,0.089,0.001,5,4776,4776,OK,0
ref,196608,0.202,0.200,0.206,0.002,5,6922,6922,OK,0
ref,262144,0.419,0.404,0.432,0.010,5,9163,9163,OK,0
ref,327680,0.726,0.710,0.755,0.016,5,11395,11395,OK,0
ref,393216,1.109,1.105,1.115,0.004,3,13675,13675,OK,0
ref,458752,1.612,1.600,1.614,0.006,3,16032,16032,OK,0
ref,524288,2.177,2.170,2.197,0.011,3,18408,18408,OK,0
ref,589824,2.685,2.652,2.689,0.017,3,20414,20414,OK,0
ref,655360,3.365,3.339,3.378,0.016,3,22558,22558,OK,0
ref,720896,4.215,4.161,4.218,0.026,3,24726,24726,OK,0
ref,786432,4.942,4.892,4.944,0.024,3,26847,26847,OK,0
ref,851968,5.890,5.832,5.895,0.029,3,29012,29012,OK,0
ref,917504,6.908,6.902,6.954,0.023,3,31145,31145,OK,0
ref,983040,8.106,8.077,8.109,0.014,3,33347,33347,OK,0
ref,1048576,9.282,9.196,9.324,0.053,3,35556,35556,OK,0
ref,1114112,10.484,10.412,10.501,0.039,3,37791,37791,OK,0
ref,1179648,11.778,11.743,11.814,0.029,3,39949,39949,OK,0
ref,1245184,13.217,13.200,13.224,0.010,3,42106,42106,OK,0
ref,1310720,14.866,14.631,14.933,0.129,3,44313,44313,OK,0
ref,1376256,16.571,16.404,16.648,0.102,3,46576,46576,OK,0
ref,1441792,18.126,18.103,18.157,0.022,3,48779,48779,OK,0
ref,1507328,19.925,19.892,20.080,0.082,3,51053,51053,OK,0
ref,1572864,21.892,21.838,21.984,0.060,3,53287,53287,OK,0
ref,1638400,23.913,23.832,23.923,0.041,3,55529,55529,OK,0
ref,1703936,25.897,25.736,26.017,0.115,3,57818,57818,OK,0
ref,1769472,28.114,27.940,28.411,0.194,3,60100,60100,OK,0
ref,1835008,30.325,30.066,30.397,0.142,3,62308,62308,OK,0
ref,1900544,32.499,32.491,32.585,0.043,3,64577,64577,OK,0
ref,1966080,35.567,35.212,35.698,0.205,3,66881,66881,OK,0
ref,2031616,38.011,37.808,38.139,0.136,3,69120,69120,OK,0
ref,2097152,40.437,40.436,40.686,0.118,3,71424,71424,OK,0
