config,leg,wall_s,exit_code,solutions,expected,correct
original,65536,0.029,0,2357,2357,YES
original,131072,0.104,0,4776,4776,YES
original,262144,0.480,0,9163,9163,YES
original,524288,2.396,0,18408,18408,YES
original,1048576,9.980,0,35556,35556,YES
original,2097152,47.276,0,71424,71424,YES
gpu+cpu_5090,65536,0.608,0,2357,2357,YES
gpu+cpu_5090,131072,0.578,0,4776,4776,YES
gpu+cpu_5090,262144,0.991,0,9163,9163,YES
gpu+cpu_5090,524288,2.802,0,18408,18408,YES
gpu+cpu_5090,1048576,11.835,0,35556,35556,YES
gpu+cpu_5090,2097152,62.706,0,71424,71424,YES
gpu+cpu_9070,65536,0.646,0,2357,2357,YES
gpu+cpu_9070,131072,0.686,0,4776,4776,YES
gpu+cpu_9070,262144,1.085,0,9163,9163,YES
gpu+cpu_9070,524288,4.310,0,18408,18408,YES
gpu+cpu_9070,1048576,22.571,0,35556,35556,YES
gpu_all_5090,65536,0.668,0,476,2357,NO
gpu_all_5090,131072,0.709,0,756,4776,NO
gpu_all_5090,262144,0.943,0,1091,9163,NO
gpu_all_5090,524288,1.954,0,1570,18408,NO
gpu_all_5090,1048576,7.335,0,2247,35556,NO
gpu_all_5090,2097152,63.686,0,71424,71424,YES
gpu_all_9070,65536,0.676,0,476,2357,NO
gpu_all_9070,131072,0.677,0,756,4776,NO
gpu_all_9070,262144,1.046,0,1091,9163,NO
gpu_all_9070,524288,3.501,0,1570,18408,NO
gpu_all_9070,1048576,18.078,0,2247,35556,NO
