config,leg,rep,wall_s,solutions,exit_code,search_card_ok,filter_ok,other_card_seen,util_amd_max_pct,util_nv_max_pct,phase_enum_ms,phase_budget_ms,phase_sieve_ms,phase_search_ms,phase_total_ms,search_h2d_ms,search_kernel_ms,search_d2h_ms,search_emit_ms
ref,65536,1,0.020,2357,0,yes,na,no,NA,NA,,,,,,,,,
ref,65536,2,0.019,2357,0,yes,na,no,NA,NA,,,,,,,,,
ref,65536,3,0.019,2357,0,yes,na,no,NA,NA,,,,,,,,,
ref,131072,1,0.085,4776,0,yes,na,no,NA,NA,,,,,,,,,
ref,131072,2,0.086,4776,0,yes,na,no,NA,NA,,,,,,,,,
ref,131072,3,0.085,4776,0,yes,na,no,NA,NA,,,,,,,,,
ref,262144,1,0.441,9163,0,yes,na,no,NA,NA,,,,,,,,,
ref,262144,2,0.451,9163,0,yes,na,no,NA,NA,,,,,,,,,
ref,262144,3,0.433,9163,0,yes,na,no,NA,NA,,,,,,,,,
ref,524288,1,2.263,18408,0,yes,na,no,NA,NA,,,,,,,,,
ref,524288,2,2.238,18408,0,yes,na,no,NA,NA,,,,,,,,,
ref,524288,3,2.240,18408,0,yes,na,no,NA,NA,,,,,,,,,
ref,1048576,1,9.473,35556,0,yes,na,no,NA,NA,,,,,,,,,
ref,1048576,2,9.373,35556,0,yes,na,no,NA,NA,,,,,,,,,
ref,1048576,3,9.482,35556,0,yes,na,no,NA,NA,,,,,,,,,
ref,2097152,1,41.042,71424,0,yes,na,no,NA,NA,,,,,,,,,
ref,2097152,2,41.527,71424,0,yes,na,no,NA,NA,,,,,,,,,
ref,2097152,3,41.340,71424,0,yes,na,no,NA,NA,,,,,,,,,
amd_gpu,65536,1,0.497,2357,0,yes,yes,no,0,0,385.847,0.006,36.923,28.543,468.864,0.084,27.725,0.110,0.624
amd_gpu,65536,2,0.113,2357,0,yes,yes,no,46,0,7.525,0.007,33.043,28.462,85.919,0.089,27.626,0.114,0.634
amd_gpu,65536,3,0.098,2357,0,yes,yes,no,45,0,7.451,0.007,19.580,27.816,72.263,0.117,26.939,0.127,0.632
amd_gpu,131072,1,0.163,4776,0,yes,yes,no,34,0,7.285,0.007,26.837,59.286,135.187,0.117,57.756,0.152,1.260
amd_gpu,131072,2,0.154,4776,0,yes,yes,no,50,0,7.191,0.007,26.723,55.771,125.462,0.081,54.274,0.169,1.246
amd_gpu,131072,3,0.149,4776,0,yes,yes,no,43,0,7.351,0.007,26.451,55.177,123.807,0.123,53.656,0.161,1.236
amd_gpu,262144,1,0.359,9163,0,yes,yes,no,63,0,7.246,0.007,50.951,154.570,331.235,0.116,151.771,0.263,2.419
amd_gpu,262144,2,0.362,9163,0,yes,yes,no,67,0,7.469,0.007,51.181,169.303,334.612,0.109,166.549,0.239,2.406
amd_gpu,262144,3,0.375,9163,0,yes,yes,no,60,0,7.437,0.007,51.452,162.197,346.772,0.134,159.375,0.246,2.442
amd_gpu,524288,1,1.287,18408,0,yes,yes,no,100,0,7.786,0.007,167.180,545.106,1258.239,0.118,539.724,0.401,4.863
amd_gpu,524288,2,1.113,18408,0,yes,yes,no,100,0,7.668,0.007,151.832,560.638,1086.499,0.110,555.203,0.391,4.934
amd_gpu,524288,3,1.193,18408,0,yes,yes,no,100,0,7.107,0.007,151.848,594.235,1164.946,0.121,588.886,0.397,4.831
amd_gpu,1048576,1,3.296,35556,0,yes,yes,no,100,0,7.812,0.008,606.810,1927.778,3268.481,0.125,1917.432,0.719,9.502
amd_gpu,1048576,2,3.283,35556,0,yes,yes,no,100,0,7.488,0.007,569.022,1964.248,3254.475,0.146,1953.939,0.715,9.447
