config,leg,wall_median_s,wall_min_s,wall_max_s,wall_stdev_s,reps,solutions,expected,outcome,exit_code
ref,65536,0.019,0.019,0.020,0.000,3,2357,2357,OK,0
ref,131072,0.085,0.085,0.086,0.000,3,4776,4776,OK,0
ref,262144,0.441,0.433,0.451,0.007,3,9163,9163,OK,0
ref,524288,2.240,2.238,2.263,0.011,3,18408,18408,OK,0
ref,1048576,9.473,9.373,9.482,0.049,3,35556,35556,OK,0
ref,2097152,41.340,41.042,41.527,0.200,3,71424,71424,OK,0
amd_gpu,65536,0.113,0.098,0.497,0.185,3,2357,2357,OK,0
amd_gpu,131072,0.154,0.149,0.163,0.006,3,4776,4776,OK,0
amd_gpu,262144,0.362,0.359,0.375,0.007,3,9163,9163,OK,0
amd_gpu,524288,1.193,1.113,1.287,0.071,3,18408,18408,OK,0
amd_gpu,1048576,3.283,3.229,3.296,0.029,3,35556,35556,OK,0
amd_gpu,2097152,12.483,12.078,12.588,0.220,3,71424,71424,OK,0
nvidia_gpu,65536,0.263,0.245,0.348,0.045,3,2357,2357,OK,0
nvidia_gpu,131072,0.288,0.286,0.289,0.001,3,4776,4776,OK,0
nvidia_gpu,262144,0.450,0.434,0.454,0.009,3,9163,9163,OK,0
nvidia_gpu,524288,1.029,0.942,1.038,0.043,3,18408,18408,OK,0
nvidia_gpu,1048576,1.974,1.956,1.978,0.010,3,35556,35556,OK,0
nvidia_gpu,2097152,5.452,5.372,5.470,0.043,3,71424,71424,OK,0
