mode,leg,wall_s,prime_us,search_us,lines_found,expected_lines,correct,exit_code
ref,65536,0.031,8510,10816,2357,2357,YES,0
ref,131072,0.114,36546,60622,4776,4776,YES,0
ref,262144,0.515,145772,323066,9163,9163,YES,0
ref,524288,2.418,600525,1761972,18408,18408,YES,0
ref,1048576,9.909,2545293,7260408,35556,35556,YES,0
ref,2097152,49.018,11424874,37243675,71424,71424,YES,0
default_cpu,65536,0.614,19875,8709,2357,2357,YES,0
default_cpu,131072,0.815,76201,56139,4776,4776,YES,0
default_cpu,262144,1.016,184129,310512,9163,9163,YES,0
default_cpu,524288,4.572,1877651,1734594,18408,18408,YES,0
default_cpu,1048576,16.051,7400304,7227538,35556,35556,YES,0
default_cpu,2097152,92.042,53509464,35277556,71424,71424,YES,0
no_gpu,65536,0.714,26851,8546,2357,2357,YES,0
no_gpu,131072,0.715,44979,56361,4776,4776,YES,0
no_gpu,262144,1.316,308027,310189,9163,9163,YES,0
no_gpu,524288,4.571,1877765,1718921,18408,18408,YES,0
no_gpu,1048576,16.110,7405406,7249200,35556,35556,YES,0
no_gpu,2097152,93.634,53607306,36944481,71424,71424,YES,0
gpu_search,65536,0.815,27370,686,2357,2357,YES,0
gpu_search,131072,0.867,46049,1391,4776,4776,YES,0
gpu_search,262144,1.516,306563,2657,9163,9163,YES,0
gpu_search,524288,4.619,1840410,5353,18408,18408,YES,0
gpu_search,1048576,15.032,7370755,10349,35556,35556,YES,0
gpu_search,2097152,56.931,53573667,0,0,71424,NO,141
